year,race,gestational_age_group,births,deaths,mortality_rate,birth_proportion
2020,Non-Hispanic Black,39-41 weeks,255525,790,3.091674004500538,0.4848340530817629
2020,Non-Hispanic Black,42+ weeks,23972,105,4.3801101284832304,0.04548455892956079
2020,Non-Hispanic White,<28 weeks,7742,2842,367.0886075949367,0.004214879362552577
2020,Non-Hispanic White,28-31 weeks,14535,649,44.65084279325766,0.007913106630677048
2020,Non-Hispanic White,32-33 weeks,22410,377,16.822846943328873,0.012200393504882879
2020,Non-Hispanic White,34-36 weeks,141191,918,6.501830853241353,0.07686683441980895
2020,Non-Hispanic White,37-38 weeks,461885,1299,2.812388365069227,0.2514582219546108
2020,Non-Hispanic White,39-41 weeks,1096171,1621,1.478783875873381,0.596774544785407
2020,Non-Hispanic White,42+ weeks,92892,216,2.325280971450717,0.05057201934206071
2021,Non-Hispanic Black,<28 weeks,7410,2480,334.6828609986505,0.014371661643373326
2021,Non-Hispanic Black,28-31 weeks,9523,411,43.15866848682138,0.018469815631557918
2021,Non-Hispanic Black,32-33 weeks,12059,211,17.497304917489014,0.023388376215578804
2021,Non-Hispanic Black,34-36 weeks,59954,545,9.090302565300064,0.11628051311292907
2021,Non-Hispanic Black,37-38 weeks,157987,742,4.696588959851127,0.3064150753106102
2021,Non-Hispanic Black,39-41 weeks,245056,811,3.3094476364586054,0.47528500886349445
2021,Non-Hispanic Black,42+ weeks,23609,95,4.023889194798594,0.045789549222456254
2021,Non-Hispanic White,<28 weeks,8070,2754,341.2639405204461,0.004289295152405513
2021,Non-Hispanic White,28-31 weeks,15391,644,41.842635306347866,0.008180488437505979
2021,Non-Hispanic White,32-33 weeks,23940,371,15.497076023391813,0.012724377440965055
2021,Non-Hispanic White,34-36 weeks,149379,1040,6.962156661913656,0.07939660725789134
2021,Non-Hispanic White,37-38 weeks,491641,1362,2.7703141113129295,0.26131268376998745
2021,Non-Hispanic White,39-41 weeks,1101862,1625,1.4747763331524275,0.5856519622329422
2021,Non-Hispanic White,42+ weeks,91145,213,2.336935651983104,0.048444585708302415
2022,Non-Hispanic Black,<28 weeks,7376,2509,340.15726681127984,0.014489052672106609
2022,Non-Hispanic Black,28-31 weeks,8993,409,45.479817635939064,0.017665408172485728
2022,Non-Hispanic Black,32-33 weeks,11767,213,18.101470213308403,0.023114517732196103
2022,Non-Hispanic Black,34-36 weeks,58281,570,9.78020281052144,0.11448433822980549
2022,Non-Hispanic Black,37-38 weeks,156587,791,5.051504914201051,0.3075918235855691
2022,Non-Hispanic Black,39-41 weeks,240516,821,3.4134943205441632,0.47245783520666934
2022,Non-Hispanic Black,42+ weeks,25554,103,4.030680128355638,0.05019702440116761
2022,Non-Hispanic White,<28 weeks,7695,2732,355.03573749187785,0.004193618179648172
2022,Non-Hispanic White,28-31 weeks,14993,670,44.68752084306009,0.008170879449962969
2022,Non-Hispanic White,32-33 weeks,23289,387,16.617287131263684,0.012692030381523884
2022,Non-Hispanic White,34-36 weeks,145142,1002,6.903584076283915,0.07909943207673749
2022,Non-Hispanic White,37-38 weeks,483338,1407,2.9110063764901577,0.26340935980699004
2022,Non-Hispanic White,39-41 weeks,1065878,1662,1.5592778910907252,0.5808817879255406
2022,Non-Hispanic White,42+ weeks,94596,225,2.378536090320944,0.051552892179596944
2023,Non-Hispanic Black,<28 weeks,6944,2401,345.76612903225805,0.014190948365711203
2023,Non-Hispanic Black,28-31 weeks,8857,407,45.95235407022694,0.018100407499294948
2023,Non-Hispanic Black,32-33 weeks,11544,205,17.758142758142757,0.02359163420705215
2023,Non-Hispanic Black,34-36 weeks,56709,542,9.557565818476785,0.11589206377752255
2023,Non-Hispanic Black,37-38 weeks,152714,752,4.924237463493852,0.3120905081683785
2023,Non-Hispanic Black,39-41 weeks,227953,778,3.412984255526358,0.4658509868676506
2023,Non-Hispanic Black,42+ weeks,24605,102,4.145498882340988,0.05028345111439
2023,Non-Hispanic White,<28 weeks,7558,2689,355.78195289759196,0.004242027956524545
2023,Non-Hispanic White,28-31 weeks,14389,599,41.629022169712975,0.008076017500189426
2023,Non-Hispanic White,32-33 weeks,22401,374,16.6956832284273,0.012572858991016981
2023,Non-Hispanic White,34-36 weeks,141029,1010,7.161647604393423,0.07915440072515217
2023,Non-Hispanic White,37-38 weeks,475828,1359,2.8560740435619594,0.2670647894280446
2023,Non-Hispanic White,39-41 weeks,1029065,1551,1.5071934231559716,0.5775764089813352
2023,Non-Hispanic White,42+ weeks,91425,221,2.4172819250751982,0.05131349641773704
2024,Non-Hispanic Black,<28 weeks,6649,2364,355.5421867950068,0.014118931131722896
2024,Non-Hispanic Black,28-31 weeks,8357,371,44.39392126361135,0.017745812523358134
2024,Non-Hispanic Black,32-33 weeks,10741,203,18.899543804115073,0.02280815751027758
2024,Non-Hispanic Black,34-36 weeks,54340,517,9.51417004048583,0.115389189005538
2024,Non-Hispanic Black,37-38 weeks,147166,739,5.021540301428319,0.3125021234668569
2024,Non-Hispanic Black,39-41 weeks,219985,768,3.4911471236675227,0.4671308565215914
2024,Non-Hispanic Black,42+ weeks,23690,93,3.9257070493879276,0.050304929840655044
2024,Non-Hispanic White,<28 weeks,7364,2683,364.3400325909832,0.004143694595528366
2024,Non-Hispanic White,28-31 weeks,13911,623,44.784702753216884,0.007827666420205744
2024,Non-Hispanic White,32-33 weeks,21974,336,15.290798216073542,0.012364685638530732
2024,Non-Hispanic White,34-36 weeks,140579,959,6.8217870378932846,0.0791032648757173
2024,Non-Hispanic White,37-38 weeks,477063,1307,2.7396800841817535,0.26844152292593004
2024,Non-Hispanic White,39-41 weeks,1023981,1504,1.468777252702931,0.5761901868038745
2024,Non-Hispanic White,42+ weeks,92286,222,2.4055653078473442,0.05192897874021331
